,semantic,bleu,meteor,toxicity
561815,0.8241817355155945,0.4798782066690663,0.8335382345709367,0.0740556940436363
1189,0.976272463798523,0.6703420896351792,0.9063588552694488,0.0042861318215727
170678,0.9448533654212952,0.5253819788848316,0.8722527472527472,0.0014943804126232
508872,0.9663430452346802,0.5133450480401704,0.854119425547997,0.0008467650040984
249604,0.949798822402954,0.3393251340793363,0.8101794934841405,0.1566376090049743
180989,0.9770662784576416,0.6668954865619205,0.885547201336675,0.002015036297962
149284,0.8303518891334534,0.1714181485475581,0.7500000000000001,0.0985808745026588
48139,0.9386889338493348,0.7071067811865475,0.9995,0.9284708499908448
88292,0.9406405687332152,0.5622008276590377,0.8814159292035397,0.0210738983005285
312,0.9807204008102416,0.7825422900366437,0.9268808114961962,0.0250620655715465
539616,0.9080694317817688,0.7539221180326288,0.9063588552694488,0.0013572720345109
296278,0.9671967029571532,0.6450001140844255,0.8989296843246172,0.1942501366138458
297208,0.909201443195343,0.293945703509473,0.8066666666666668,0.0009553104173392
567979,0.9602265357971193,0.5331675363405771,0.853494623655914,0.0009403761359862
247629,0.98588365316391,0.693395566222006,0.9239523121387282,0.0012525038328021
372274,0.962208330631256,0.7276817202342092,0.8859592013888888,0.003330216743052
23606,0.7951833605766296,0.5969491792019646,0.8819444444444444,0.0022971117869019
67077,0.946104109287262,0.2776320934560912,0.8294209702660407,0.0220462102442979
496237,0.9876700043678284,0.7611606003349892,0.9997724169321802,0.0646454691886901
523578,0.7716666460037231,0.1374292659508281,0.7352941176470589,0.0041773812845349
303957,0.9640005230903624,0.4844273237963863,0.868991969315594,0.0017657174030318
37248,0.2344283908605575,0.1861648705529516,0.6388888888888888,0.1321444064378738
324892,0.9521450996398926,0.7016035864257111,0.9063588552694488,0.0081086931750178
444479,0.9234017729759216,0.3393251340793363,0.8335382345709367,0.0030073095113039
93295,0.9417299628257751,0.5946035575013605,0.864795918367347,0.0427905060350894
476618,0.3357491493225097,0.1714181485475581,0.7500000000000001,0.7556822299957275
464503,0.8329375386238098,0.3393251340793363,0.8335382345709367,0.0007588212029077
107732,0.3357491493225097,0.1861648705529516,0.6388888888888888,0.0006949552334845
411296,0.9504302144050598,0.5814307369682193,0.8722527472527472,0.0181919448077678
455040,0.9549368023872375,0.5253819788848316,0.8722527472527472,0.0432094298303127
333100,0.9157446026802064,0.7691605673134586,0.9139118457300276,0.0353156700730323
6645,0.9870114326477052,0.7241577342575828,0.9203071887196274,0.0007557897479273
387456,0.9613608717918396,0.4111336169005197,0.806697108066971,0.0012901568552479
227316,0.0,0.0724974999068182,0.2380952380952381,0.0031695805955678
392484,0.9746537804603576,0.7487402156832422,0.9203071887196274,0.0213478468358516
430994,0.9777830839157104,0.7245511487202049,0.9320028145589458,0.0006832281942479
331767,0.9050847291946412,0.3123939936920255,0.806697108066971,0.0007300192955881
200595,0.9863666892051696,0.6668954865619205,0.9001670843776107,0.0012994745047762
32634,0.8668124675750732,0.293945703509473,0.9976851851851852,0.489635169506073
232919,0.7857656478881836,0.3155984539112945,0.7682539682539684,0.0007142396061681
329978,0.9453465342521667,0.4240125351805037,0.853494623655914,0.0105741750448942
77805,0.9865832924842834,0.6964705665515707,0.9197099892588614,0.5871075391769409
458380,0.6538755893707275,0.1341419505182476,0.6233062330623306,0.0029020882211625
243156,0.6831845641136169,0.5946035575013605,0.864795918367347,0.0016496919561177
552637,0.9864655137062072,0.7272454093000141,0.9139100932994064,0.6397250294685364
529695,0.9669438004493712,0.5814307369682193,0.8722527472527472,0.0011986969038844
399257,0.9755393862724304,0.5622008276590377,0.8730088495575221,0.0007613555644638
492204,0.9663203954696656,0.5133450480401704,0.854119425547997,0.0101831741631031
313006,0.9667646288871764,0.5969491792019646,0.8819444444444444,0.0037329879123717
196767,0.9682307839393616,0.6115380576901023,0.8814159292035397,0.8962304592132568
278327,0.928869128227234,0.4316700106852252,0.854119425547997,0.000790404737927
120967,0.973452627658844,0.6736041912625804,0.9136988128584768,0.0230834577232599
156373,0.97842276096344,0.5969491792019646,0.8819444444444444,0.0024782111868262
228952,0.9867330193519592,0.7254330631437157,0.9282054191011022,0.0020297705195844
472239,0.9352656602859496,0.4844273237963863,0.868991969315594,0.0128569072112441
53061,0.987946093082428,0.8466657105524215,0.9540430939139848,0.0015199619811028
564166,0.7743677496910095,0.1714181485475581,0.7500000000000001,0.0022226169239729
213728,0.0,0.6606328636027614,0.8722527472527472,0.0101373475044965
339241,0.9823683500289916,0.7016879391277372,0.9054545454545456,0.6610813736915588
198087,0.8266641497612,0.3247290811215419,0.8412698412698414,0.0051782559603452
489,0.9018658399581908,0.293945703509473,0.8066666666666668,0.6784763336181641
409505,0.8741928339004517,0.3155984539112945,0.7682539682539684,0.001165522262454
574637,0.9825653433799744,0.8003203203844999,0.9319727891156462,0.0009690260631032
460996,0.9446924924850464,0.4798782066690663,0.8335382345709367,0.0011915443465113
93763,0.974692404270172,0.293945703509473,0.9976851851851852,0.3603683412075043
52024,0.7828907370567322,0.1816962567144583,0.7079365079365081,0.007785971276462
307097,0.976272463798523,0.5316967153331754,0.8730088495575221,0.0030120955780148
313891,0.9547207355499268,0.6540585844910979,0.9136988128584768,0.0013789383228868
140730,0.9700836539268494,0.7071067811865475,0.9995,0.0007847235538065
535489,0.9639424681663512,0.587728372510532,0.8861997310842195,0.0005725853261537
290798,0.3357491493225097,0.1341419505182476,0.5111111111111111,0.0008427996654063
257748,0.9729905724525452,0.293945703509473,0.9490196078431372,0.1178878396749496
228197,0.6735439300537109,0.1341419505182476,0.6233062330623306,0.0100904302671551
343851,0.9129186272621156,0.6340466277046861,0.8972972972972975,0.0576676279306411
285370,0.2694777846336365,0.2117797414134193,0.625,0.3105121254920959
513540,0.9215404987335204,0.6606328636027614,0.8819444444444444,0.0012223625089973
540351,0.1885694563388824,0.0906805999592387,0.5943152454780362,0.0313845947384834
55094,0.6735439300537109,0.4347208719449914,0.7934426229508196,0.0018443729495629
3222,0.9697566628456116,0.7778111223054219,0.9347587719298244,0.0017508683959022
215344,0.6021663546562195,0.403527863746399,0.8335382345709367,0.1604520827531814
24811,0.7764744162559509,0.3155984539112945,0.7682539682539684,0.5818292498588562
413983,0.9399282336235046,0.4844273237963863,0.8576051779935275,0.184881642460823
39881,0.9714098572731018,0.7611606003349892,0.9997724169321802,0.4211146831512451
400793,0.9556524753570556,0.6026080978557137,0.9001670843776107,0.0010120387887582
218297,0.9888461232185364,0.709421400618421,0.8922782735385176,0.0030083418823778
230767,0.9818813800811768,0.7071067811865475,0.9995,0.9797502756118774
528980,0.9745154976844788,0.570282226440554,0.8916213129073439,0.3329145908355713
438559,0.9371218681335448,0.4111336169005197,0.8294209702660407,0.6775050163269043
195203,0.9734378457069396,0.6703420896351792,0.9063588552694488,0.0096299229189753
497231,0.7352157235145569,0.293945703509473,0.8066666666666668,0.0248920954763889
565607,0.9644371271133424,0.7611606003349892,0.9997724169321802,0.7126359939575195
